epoch,step,max_step,loss,loss_action,loss_video,lr,steps_per_sec,samples_per_sec
0,89,5000,1.3582,0.9,0.4191,3.59e-06,0.12,11.92
0,90,5000,1.2684,0.9,0.3551,3.63e-06,0.12,11.84
0,91,5000,1.236,0.8,0.4174,3.67e-06,0.12,11.95
0,92,5000,1.2386,0.8,0.3723,3.71e-06,0.12,11.86
0,93,5000,1.2865,0.8,0.4319,3.75e-06,0.12,11.97
0,94,5000,1.3028,0.9,0.3851,3.78e-06,0.12,11.89
0,95,5000,1.1407,0.7,0.3692,3.82e-06,0.12,11.99
0,96,5000,1.2789,0.8,0.4507,3.86e-06,0.12,11.92
0,97,5000,1.3077,0.9,0.3769,3.9e-06,0.12,12.01
0,98,5000,1.1816,0.8,0.3712,3.94e-06,0.12,11.94
0,99,5000,1.1367,0.7,0.3738,3.98e-06,0.12,12.03
0,100,5000,1.1574,0.7861,0.3713,4.02e-06,0.12,11.95
0,101,5000,1.0636,0.7187,0.3449,4.06e-06,0.12,12.05
0,102,5000,1.1542,0.7847,0.3694,4.1e-06,0.12,11.98
0,103,5000,1.0906,0.7106,0.38,4.14e-06,0.12,12.07
0,104,5000,1.08,0.7058,0.3742,4.18e-06,0.12,12.0
0,105,5000,1.1495,0.7584,0.3912,4.22e-06,0.12,12.08
0,106,5000,1.1355,0.7413,0.3942,4.26e-06,0.12,12.02
0,107,5000,1.0064,0.6541,0.3522,4.3e-06,0.12,12.11
0,108,5000,1.0839,0.672,0.4119,4.34e-06,0.12,12.04
0,109,5000,1.0432,0.6405,0.4027,4.38e-06,0.12,12.12
0,110,5000,0.9693,0.6857,0.2837,4.42e-06,0.12,12.06
0,111,5000,1.0106,0.6318,0.3788,4.46e-06,0.12,12.14
0,112,5000,1.029,0.663,0.3659,4.5e-06,0.12,12.07
0,113,5000,1.0322,0.6524,0.3797,4.54e-06,0.12,12.15
0,114,5000,1.0556,0.6497,0.4058,4.58e-06,0.12,12.08
0,115,5000,0.9489,0.585,0.3639,4.62e-06,0.12,12.17
0,116,5000,1.0302,0.6521,0.378,4.66e-06,0.12,12.1
0,117,5000,0.9255,0.6093,0.3162,4.7e-06,0.12,12.18
0,118,5000,0.9678,0.6115,0.3563,4.74e-06,0.12,12.11
0,119,5000,1.0043,0.625,0.3792,4.78e-06,0.12,12.19
0,120,5000,0.9628,0.5776,0.3852,4.82e-06,0.12,12.12
0,121,5000,0.9263,0.5568,0.3696,4.86e-06,0.12,12.19
0,122,5000,0.948,0.5791,0.3689,4.9e-06,0.12,12.14
0,123,5000,0.9492,0.5758,0.3735,4.94e-06,0.12,12.21
0,124,5000,0.9344,0.5803,0.3541,4.98e-06,0.12,12.15
0,125,5000,0.9749,0.5826,0.3923,5.02e-06,0.12,12.22
0,126,5000,0.9498,0.5716,0.3782,5.06e-06,0.12,12.16
0,127,5000,0.8825,0.5365,0.346,5.1e-06,0.12,12.23
0,128,5000,0.899,0.5359,0.3632,5.14e-06,0.12,12.17
0,129,5000,0.8717,0.5256,0.3461,5.18e-06,0.12,12.23
0,130,5000,0.9196,0.5611,0.3584,5.22e-06,0.12,12.19
0,131,5000,0.9578,0.5596,0.3981,5.26e-06,0.12,12.25
0,132,5000,0.9262,0.5306,0.3956,5.3e-06,0.12,12.2
0,133,5000,0.8739,0.5475,0.3264,5.34e-06,0.13,12.26
0,134,5000,0.9109,0.5242,0.3867,5.38e-06,0.12,12.21
0,135,5000,0.868,0.5171,0.3509,5.42e-06,0.13,12.28
0,136,5000,0.79,0.485,0.305,5.46e-06,0.12,12.21
0,137,5000,0.8695,0.5127,0.3568,5.5e-06,0.13,12.29
0,138,5000,0.8622,0.5093,0.3529,5.54e-06,0.12,12.21
0,139,5000,0.8342,0.5082,0.326,5.58e-06,0.13,12.29
